CandidateID,County,Votes
19706,COOK,27168
19707,COOK,155110
19708,COOK,26839
19709,COOK,52582
19710,COOK,15490
19710,WILL,10683
19711,DuPAGE,21870
19711,WILL,918
19712,COOK,13848
19712,DuPAGE,11281
19712,WILL,7839
19713,KANE,11477
19714,DuPAGE,4057
19714,WILL,2609
19714,KENDALL,1670
19714,KANE,732
19715,DuPAGE,5719
19715,WILL,2570
19715,KENDALL,2340
19715,KANE,1969
19716,WILL,16928
19716,DuPAGE,3670
19717,WILL,16408
19718,SANGAMON,14549
19718,LOGAN,7476
19718,TAZEWELL,5395
19718,MENARD,4196
19719,TAZEWELL,17908
19719,McLEAN,12347
19720,STEPHENSON,12028
19720,JoDAVIESS,6092
19720,WINNEBAGO,4921
19720,CARROLL,3294
19720,OGLE,2873
19720,WHITESIDE,720
19721,COOK,904949
19722,COOK,900379
19723,COOK,32642
19723,DuPAGE,29021
19723,KANE,5215
19724,COOK,43523
19724,DuPAGE,33042
19724,KANE,7613
19725,COOK,25449
19726,OGLE,11613
19726,LEE,8567
19726,DeKALB,5750
19726,LaSALLE,2738
19726,WINNEBAGO,0
19727,TAZEWELL,11462
19727,FULTON,5500
19727,PEORIA,3347
19728,TAZEWELL,5816
19728,FULTON,2937
19728,PEORIA,1377
19729,PEORIA,20559
19730,McDONOUGH,7525
19730,MASON,4373
19730,KNOX,3602
19730,CASS,3219
19730,SCHUYLER,2819
19730,FULTON,2260
19730,BROWN,1312
19730,WARREN,884
19731,ADAMS,20068
19731,HANCOCK,5058
19731,WARREN,3772
19731,HENDERSON,2001
19732,MACOUPIN,11285
19732,CHRISTIAN,8031
19732,MONTGOMERY,7474
19732,MADISON,2387
19733,MACON,6025
19733,SANGAMON,4836
19733,CHRISTIAN,1433
19734,MACON,8566
19734,SANGAMON,5533
19734,CHRISTIAN,1054
19735,WILL,14444
19735,KENDALL,3963
19737,WILL,10992
19738,WILL,17520
19739,SANGAMON,37596
19740,PIATT,5917
19741,CALHOUN,1645
19742,COOK,72384
19743,COOK,141000
19745,COOK,20890
19746,MACOUPIN,12824
19746,JERSEY,5797
19746,GREENE,3391
19746,CALHOUN,1441
19746,MADISON,576
19746,SANGAMON,267
19746,MONTGOMERY,65
19746,MORGAN,2
19746,SCOTT,1
19747,STEPHENSON,11458
19747,JoDAVIESS,6098
19747,CARROLL,4710
19747,WHITESIDE,123
19747,OGLE,19
19748,COOK,285558
19748,DuPAGE,128261
19748,LAKE,82500
19748,WILL,81091
19748,KANE,57516
19748,McHENRY,44951
19748,MADISON,39170
19748,ST. CLAIR,33663
19748,WINNEBAGO,33369
19748,SANGAMON,32781
19748,McLEAN,26075
19748,CHAMPAIGN,23905
19748,PEORIA,23087
19748,TAZEWELL,22671
19748,ROCK ISLAND,19318
19748,MACON,16451
19748,LaSALLE,16107
19748,KENDALL,15922
19748,KANKAKEE,14310
19748,DeKALB,12846
19748,ADAMS,12454
19748,WILLIAMSON,11194
19748,VERMILION,10716
19748,HENRY,9358
19748,OGLE,8972
19748,EFFINGHAM,8574
19748,WOODFORD,8536
19748,MONROE,7943
19748,WHITESIDE,7923
19748,COLES,7844
19748,CLINTON,7561
19748,MACOUPIN,7381
19748,KNOX,7359
19748,BOONE,7258
19748,GRUNDY,6947
19748,JACKSON,6787
19748,STEPHENSON,6780
19748,MARION,6684
19748,JEFFERSON,6615
19748,LIVINGSTON,6332
19748,BUREAU,6215
19748,FRANKLIN,5947
19748,RANDOLPH,5725
19748,IROQUOIS,5668
19748,CHRISTIAN,5583
19748,MORGAN,5567
19748,LEE,5477
19748,SHELBY,4664
19748,LOGAN,4601
19748,MONTGOMERY,4517
19748,JERSEY,4490
19748,McDONOUGH,4284
19748,FULTON,4178
19748,WAYNE,4122
19748,JoDAVIESS,4048
19748,FAYETTE,4028
19748,SALINE,3905
19748,PIATT,3869
19748,CRAWFORD,3831
19748,DOUGLAS,3589
19748,WASHINGTON,3583
19748,PERRY,3491
19748,WHITE,3465
19748,EDGAR,3442
19748,CLARK,3438
19748,HANCOCK,3324
19748,RICHLAND,3197
19748,PIKE,3112
19748,UNION,3107
19748,MERCER,3023
19748,CARROLL,2987
19748,DeWITT,2851
19748,WARREN,2819
19748,JOHNSON,2795
19748,FORD,2707
19748,MENARD,2652
19748,BOND,2599
